epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1416.43,0.42247,0.6092,0.40324,0.9968,0.75937,0.58676,0.66277,0.50297,0.76206,0.58094,0.66565,0.51174,0.90109,1.92867,1.28824,1.33708,0.000391546,0.000391546,0.000391546
112,1428.15,0.42058,0.64303,0.41667,0.99127,0.77675,0.56648,0.6551,0.50405,0.7786,0.57012,0.66177,0.50415,0.87825,2.04208,1.23611,1.30791,0.000382115,0.000382115,0.000382115
113,1441.44,0.42581,0.64363,0.41182,0.99151,0.67433,0.70323,0.72916,0.54957,0.73168,0.63808,0.729,0.54571,0.91105,1.95283,1.1015,1.35103,0.000372683,0.000372683,0.000372683
114,1454.49,0.4117,0.60527,0.39418,0.98252,0.72303,0.70534,0.73218,0.53716,0.73624,0.70805,0.74061,0.54825,0.92151,1.85053,1.07453,1.36539,0.000363252,0.000363252,0.000363252
115,1466.55,0.40088,0.61847,0.39061,0.99291,0.73857,0.70804,0.7352,0.5555,0.73323,0.69969,0.73218,0.54882,0.88824,1.82678,1.03876,1.32785,0.00035382,0.00035382,0.00035382
116,1478.83,0.42007,0.60731,0.3851,0.99699,0.70935,0.74066,0.72581,0.55063,0.75657,0.71515,0.7358,0.54573,0.89088,1.82847,1.05639,1.36406,0.000344389,0.000344389,0.000344389
117,1490.18,0.40154,0.5797,0.37934,0.9871,0.64882,0.70799,0.69882,0.52723,0.67124,0.71962,0.71412,0.52664,0.89091,1.75825,1.14921,1.34675,0.000334958,0.000334958,0.000334958
118,1501.89,0.40036,0.60188,0.3777,0.98885,0.69993,0.67384,0.71024,0.53983,0.74504,0.6569,0.71841,0.53664,0.90332,1.87283,1.1359,1.36119,0.000325526,0.000325526,0.000325526
119,1514.01,0.4116,0.62048,0.39053,0.98517,0.72413,0.67249,0.71823,0.52764,0.7325,0.66907,0.716,0.55236,0.96482,1.86192,1.12019,1.41914,0.000316095,0.000316095,0.000316095
120,1526.29,0.38972,0.60045,0.37626,0.98258,0.77935,0.64847,0.71012,0.52108,0.80804,0.66237,0.7254,0.54898,0.92496,1.83968,1.14168,1.3644,0.000306663,0.000306663,0.000306663
121,1538.59,0.40938,0.61967,0.39966,0.983,0.66669,0.69738,0.71213,0.5243,0.68985,0.71421,0.72769,0.55252,0.91748,1.79499,1.14689,1.34009,0.000297232,0.000297232,0.000297232
122,1549.98,0.40857,0.5931,0.39754,0.98759,0.69979,0.61168,0.67656,0.51216,0.6656,0.64559,0.70025,0.52933,0.95827,1.8083,1.25449,1.39063,0.000287801,0.000287801,0.000287801
123,1561.88,0.39956,0.57301,0.38631,0.98358,0.77143,0.53218,0.63897,0.49423,0.77803,0.53924,0.65702,0.50068,0.97105,1.9858,1.39525,1.43719,0.000278369,0.000278369,0.000278369
124,1574.82,0.3999,0.5933,0.37205,0.97946,0.66029,0.51369,0.63764,0.50557,0.64237,0.56263,0.65855,0.50212,0.92338,1.95658,1.30018,1.38124,0.000268938,0.000268938,0.000268938
125,1586.99,0.39806,0.59209,0.38176,0.9824,0.60646,0.67064,0.6588,0.51159,0.60494,0.66185,0.65832,0.51262,0.90748,1.96592,1.21107,1.37846,0.000259506,0.000259506,0.000259506
